Ciranda dos Bichos,Palavra Cantada,Pauleco e Sandreca,Tdizzqakopg5zqffppg3ucxvy2m
Sopa,Palavra Cantada,Canções de Brincar,T5qgiazykipri2y4zpeiuqzhcsi
Ciranda,Palavra Cantada,Canções de Brincar,Tdfgc7hrr6idkh7ibnbfetrz3nm
De Gotinha em Gotinha,Palavra Cantada,Especial Dia das Crianças,Tcmg7cdhi5m5fdvzaoi3fesgv6a
Tchibum da Cabeça ao Bumbum,Palavra Cantada,Especial Dia das Crianças,T5q7ajmpyqhqioyu4ppe67uf32m
Peixe Vivo,Palavra Cantada,Cantigas de Roda,Tioc53dgycu6gf7nguo4tdivue4
Vambora Tá na Hora,Palavra Cantada,Um Minutiiiinho!,Tx3l6evybgdlduscinaad2sdgty
Bolacha de Água e Sal,Palavra Cantada,Especial Dia das Crianças,Tpm2a7iqwgb2esrz2rn5xebawni
Meu Líquido Favorito,Palavra Cantada,Show Brincadeiras Musicais,Tuqbgnqxh3lr3onzxitebavuagm
Vem Dançar Com a Gente,Palavra Cantada,Especial Dia das Crianças,T2tl7insqnodddarbkwbg63jwrq
A Barata,Palavra Cantada,Cantigas de Roda,Tegvk24dqtueybqodiygsbffnwq
Carnaval das Minhocas,Palavra Cantada,Especial Dia das Crianças,Tq3mts2gpxeyindzqulpb5c4yii
Pipoca,Palavra Cantada,Show Brincadeiras Musicais,Tzrpbzbogmlt4qyivklmw4vc55u
Criança Não Trabalha,Palavra Cantada,Para Ficar Com Você,Tp5eklvt46j5vnwykxgovvshhve
Pomar,Palavra Cantada,Pauleco e Sandreca,Tyygyttvjjd7bedbcfc6kiobfvi
